1.000000000000000021e-03 9.993255955099999976e-01 9.994755192199999971e-01 9.995316620399999907e-01 9.995004504594822148e-01 9.995479339066861701e-01 9.995805679874383287e-01
1.010061519641926092e-03 9.993188758459677912e-01 9.994703063568446400e-01 9.995270178376459702e-01 9.994954587721438521e-01 9.995434195462973292e-01 9.995763813145538412e-01
1.020224273461356121e-03 9.993120899040766059e-01 9.994650423429752850e-01 9.995223282825914657e-01 9.994904173333810649e-01 9.995388602431991565e-01 9.995721529950818418e-01
1.030489280027957304e-03 9.993052370444127641e-01 9.994597266900013821e-01 9.995175929463284703e-01 9.994853256241096329e-01 9.995342555296580223e-01 9.995678825963927316e-01
1.040857568159751735e-03 9.992983166211688584e-01 9.994543589051498866e-01 9.995128113965999761e-01 9.994801831252462243e-01 9.995296049379329695e-01 9.995635696858458097e-01
1.051330177026238563e-03 9.992913279825954564e-01 9.994489384912311758e-01 9.995079831973734397e-01 9.994749893177443667e-01 9.995249080003167919e-01 9.995592138308316832e-01
1.061908156252536596e-03 9.992842704709531398e-01 9.994434649466065190e-01 9.995031079088149140e-01 9.994697436825579206e-01 9.995201642491058358e-01 9.995548145987552813e-01
1.072592566024593115e-03 9.992771434224627658e-01 9.994379377651533281e-01 9.994981850872616258e-01 9.994644457006858218e-01 9.995153732166230931e-01 9.995503715570227543e-01
1.083384477195432211e-03 9.992699461672571726e-01 9.994323564362327383e-01 9.994932142851968848e-01 9.994590948531174579e-01 9.995105344351928878e-01 9.995458842730587934e-01
1.094284971392491890e-03 9.992626780293314415e-01 9.994267204446549702e-01 9.994881950512225499e-01 9.994536906208798532e-01 9.995056474371696309e-01 9.995413523143122925e-01
1.105295141126022172e-03 9.992553383264936029e-01 9.994210292706453558e-01 9.994831269300330501e-01 9.994482324850073596e-01 9.995007117549219444e-01 9.995367752482301471e-01
1.116416089898585821e-03 9.992479263703143433e-01 9.994152823898110327e-01 9.994780094623889610e-01 9.994427199265663031e-01 9.994957269208207817e-01 9.995321526422783487e-01
1.127648932315662798e-03 9.992404414660777112e-01 9.994094792731057497e-01 9.994728421850900268e-01 9.994371524266404405e-01 9.994906924672674053e-01 9.995274840639514213e-01
1.138994794197352792e-03 9.992328829127300471e-01 9.994036193867970042e-01 9.994676246309490697e-01 9.994315294663249638e-01 9.994856079266771776e-01 9.995227690807213516e-01
1.150454812691220933e-03 9.992252500028295792e-01 9.993977021924305149e-01 9.994623563287655665e-01 9.994258505267459292e-01 9.994804728314794495e-01 9.995180072601200783e-01
1.162030136386260886e-03 9.992175420224961302e-01 9.993917271467965824e-01 9.994570368032985597e-01 9.994201150890517082e-01 9.994752867141235564e-01 9.995131981696581125e-01
1.173721925428021290e-03 9.992097582513593812e-01 9.993856937018955611e-01 9.994516655752412326e-01 9.994143226343989994e-01 9.994700491070691584e-01 9.995083413768917069e-01
1.185531351634873430e-03 9.992018979625078012e-01 9.993796013049026650e-01 9.994462421611933767e-01 9.994084726439753652e-01 9.994647595428125531e-01 9.995034364493593504e-01
1.197459598615466985e-03 9.991939604224377991e-01 9.993734493981344391e-01 9.994407660736354115e-01 9.994025645989988993e-01 9.994594175538421554e-01 9.994984829546506022e-01
1.209507861887349541e-03 9.991859448910004327e-01 9.993672374190131213e-01 9.994352368209025173e-01 9.993965979795426113e-01 9.994540226716450704e-01 9.994934804593741395e-01
1.221677348996791758e-03 9.991778506213511157e-01 9.993609648000325585e-01 9.994296539071569896e-01 9.993905722141137593e-01 9.994485743815649803e-01 9.994884284877252334e-01
1.233969279639819238e-03 9.991696768598966605e-01 9.993546309687229012e-01 9.994240168323633711e-01 9.993844866602956678e-01 9.994430721054506916e-01 9.994833265054592353e-01
1.246384885784447430e-03 9.991614228462426528e-01 9.993482353476162983e-01 9.994183250922612505e-01 9.993783406705165628e-01 9.994375152605361468e-01 9.994781739740804527e-01
1.258925411794167490e-03 9.991530878131410498e-01 9.993417773542114801e-01 9.994125781783395057e-01 9.993721335972433062e-01 9.994319032640969214e-01 9.994729703551329392e-01
1.271592114552653162e-03 9.991446709864374442e-01 9.993352564009394534e-01 9.994067755778098805e-01 9.993658647929560823e-01 9.994262355334041503e-01 9.994677151101623025e-01
1.284386263589742906e-03 9.991361715850182179e-01 9.993286718951275294e-01 9.994009167735811161e-01 9.993595336101677162e-01 9.994205114857733774e-01 9.994624077007440155e-01
1.297309141208669936e-03 9.991275888207565847e-01 9.993220232389656843e-01 9.993950012442329722e-01 9.993531394014176783e-01 9.994147305385364666e-01 9.994570475884798633e-01
1.310362042614591138e-03 9.991189218984598552e-01 9.993153098294703662e-01 9.993890284639902477e-01 9.993466815192754149e-01 9.994088921090387156e-01 9.994516342349563098e-01
1.323546276044392303e-03 9.991101700158155907e-01 9.993085310584501890e-01 9.993829979026971344e-01 9.993401593163517838e-01 9.994029956146662785e-01 9.994461671018296522e-01
